Kanji,Kanji_Meaning,Reading_Used,Word,Word_Reading,English_Meaning,Reading_Type,Position_in_Deck
残,"remainder, leftover",のこ,残る,のこる,"remain, be left over",kun,829
残,"remainder, leftover",のこ,残す,のこす,"leave, reserve, leave undone",kun,830
返,"return, answer",へん,返事,へんじ,"answer, reply",on,832
返,"return, answer",かえ,返す,かえす,"return, repay",kun,831
返,"return, answer",かえ,繰り返す,くりかえす,repeat を,kun,1314
返,"return, answer",irregular,裏返す,うらがえす,"turn over, turn inside out",irregular,1341
貸,lend,か,貸す,かす,"lend, rent",kun,834
貸,lend,か,貸し出す,かしだす,lend out<br>(used for businesses/banks),kun,835
期,"period, time",き,期待,きたい,"expectation, anticipation",on,837
期,"period, time",き,期間,きかん,period (of time),on,839
期,"period, time",き,時期,じき,"time, period, season",on,840
期,"period, time",き,定期券,ていきけん,commuter pass,on,861
急,"hurry, emergency",きゅう,急に,きゅうに,"suddenly, unexpectedly",on,843
急,"hurry, emergency",きゅう,急,きゅう,"urgent, sudden, steep",on,844
急,"hurry, emergency",きゅう,急行,きゅうこう,"express train, going in a hurry",on,845
急,"hurry, emergency",きゅう,特急,とっきゅう,limited express (train),on,1041
急,"hurry, emergency",きゅう,救急車,きゅうきゅうしゃ,ambulance,on,1215
急,"hurry, emergency",いそ,急ぐ,いそぐ,"hurry, hasten",kun,842
券,ticket,けん,入場券,にゅうじょうけん,entrance ticket,on,852
券,ticket,けん,定期券,ていきけん,commuter pass,on,861
代,"substitute, change",だい,時代,じだい,"age, era, antiquity",on,854
代,"substitute, change",だい,代表,だいひょう,representative,on,939
代,"substitute, change",か,代わる,かわる,"take (st/sb's) place, substitute for",kun,855
代,"substitute, change",か,代える,かえる,"replace (O1を) with (O2に), substitute",kun,856
定,"determine, fix",てい,決定,けってい,decision,on,858
定,"determine, fix",てい,一定,いってい,"constant, fixed",on,860
定,"determine, fix",てい,定期券,ていきけん,commuter pass,on,861
定,"determine, fix",てい,予定,よてい,"schedule, plan",on,862
予,"beforehand, previous",よ,予定,よてい,"schedule, plan",on,862
予,"beforehand, previous",よ,天気予報,てんきよほう,weather forecast,on,863
予,"beforehand, previous",よ,予習,よしゅう,preparation for class,on,865
予,"beforehand, previous",よ,予約,よやく,"reservation, subscription, appointment",on,866
約,"promise, approximately",やく,予約,よやく,"reservation, subscription, appointment",on,866
約,"promise, approximately",やく,約束,やくそく,"promise, vow",on,867
約,"promise, approximately",やく,契約,けいやく,"contract, agreement",on,1190
化,"change, take the form of",か,変化,へんか,change,on,872
化,"change, take the form of",か,強化,きょうか,strengthening,on,873
化,"change, take the form of",か,文化,ぶんか,culture,on,874
化,"change, take the form of",け,化粧,けしょう,"makeup, put on makeup",on,1593
増,"increase, add",ぞう,増加,ぞうか,"increase, gain",on,1196
増,"increase, add",ふ,増える,ふえる,"increase, accrue が",kun,875
増,"increase, add",ふ,増やす,ふやす,"increase (something), add を",kun,876
減,"dwindle, decrease",へ,減る,へる,"decrease, diminish が",kun,877
減,"dwindle, decrease",へ,減らす,へらす,"decrease (something), reduce を",kun,878
降,"descend, precipitate",お,降りる,おりる,"get off, land",kun,880
降,"descend, precipitate",お,降ろす,おろす,"unload, lower",kun,881
降,"descend, precipitate",ふ,降る,ふる,"fall, come down, rain",kun,882
席,"seat, mat",せき,出席,しゅっせき,"attendance, presence",on,893
席,"seat, mat",せき,席,せき,"seat, one's place",on,895
席,"seat, mat",せき,欠席,けっせき,"absence, non-attendance",on,896
運,"carry, luck",うん,運転,うんてん,drive,on,900
運,"carry, luck",うん,運転手,うんてんしゅ,driver,on,901
運,"carry, luck",うん,運動,うんどう,"exercise, movement",on,906
運,"carry, luck",はこ,運ぶ,はこぶ,"carry, transport",kun,899
移,"shift, move",うつ,移る,うつる,"move, shift が",kun,903
移,"shift, move",うつ,移す,うつす,"move (something), shift, transfer",kun,904
現,"present, existing",げん,現在,げんざい,"the present, present time",on,919
現,"present, existing",げん,実現,じつげん,"realization, fulfillment",on,920
現,"present, existing",げん,表現,ひょうげん,"expression (of views, feelings, etc.)",on,938
実,"reality, truth",じつ,実現,じつげん,"realization, fulfillment",on,920
実,"reality, truth",じつ,事実,じじつ,"fact, truth",on,922
実,"reality, truth",irregular,実施,じっし,"being in effect, implementation",irregular,921
実,"reality, truth",irregular,実行,じっこう,"(putting into) practice, execution",irregular,923
実,"reality, truth",irregular,実験,じっけん,experiment,irregular,924
実,"reality, truth",irregular,実際,じっさい,"reality, truth, the actual situation",irregular,1102
過,"overdo, exceed",か,通過,つうか,"passing, passage",on,925
過,"overdo, exceed",か,過去,かこ,the past,on,929
過,"overdo, exceed",す,過ぎる,すぎる,"pass by, exceed",kun,926
過,"overdo, exceed",す,昼過ぎ,ひるすぎ,just past noon,kun,927
発,"departure, discharge",はつ,開発,かいはつ,development,on,930
発,"departure, discharge",はつ,発言,はつげん,"statement, remark",on,932
発,"departure, discharge",irregular,発生,はっせい,"occurrence, happening",irregular,931
発,"departure, discharge",irregular,発見,はっけん,"discovery, revelation",irregular,933
発,"departure, discharge",irregular,出発,しゅっぱつ,"departure, starting",irregular,934
発,"departure, discharge",irregular,発車,はっしゃ,"depart, leave (for vehicles)",irregular,935
発,"departure, discharge",irregular,発表,はっぴょう,announcement,irregular,936
表,"surface, table",ひょう,表現,ひょうげん,"expression (of views, feelings, etc.)",on,938
表,"surface, table",ひょう,代表,だいひょう,representative,on,939
表,"surface, table",ひょう,表,ひょう,"list, table",on,941
表,"surface, table",おもて,表,おもて,"front side, face, outside",kun,940
表,"surface, table",irregular,発表,はっぴょう,announcement,irregular,936
音,"sound, noise",おん,音楽,おんがく,music,on,949
音,"sound, noise",おん,録音,ろくおん,audio recording,on,1141
音,"sound, noise",おと,音,おと,"sound, noise",kun,946
音,"sound, noise",おと,音,おと,sound,kun,948
袋,"sack, bag",ふくろ,袋,ふくろ,"bag, sack",kun,1627
袋,"sack, bag",irregular,ビニール袋,ビニールぶくろ,plastic bag,irregular,952
袋,"sack, bag",irregular,手袋,てぶくろ,gloves,irregular,1626
画,"brush-stroke, picture",かく,計画,けいかく,"plan, project",on,955
画,"brush-stroke, picture",が,映画,えいが,movie,on,956
画,"brush-stroke, picture",が,映画館,えいがかん,movie theater,on,996
映,"reflect, reflection",えい,映画,えいが,movie,on,956
映,"reflect, reflection",えい,映画館,えいがかん,movie theater,on,996
面,"mask, face",めん,洗面所,せんめんじょ,"washroom, bathroom",on,1242
面,"mask, face",おも,面白い,おもしろい,"interesting, amusing",kun,958
面,"mask, face",irregular,真面目,まじめ,"serious, sober, earnest",irregular,963
写,"copy, be photographed",しゃ,写真,しゃしん,photograph,on,961
写,"copy, be photographed",うつ,写る,うつる,"<div>to appear in a photo, (picture) to come out well</div>",kun,959
写,"copy, be photographed",うつ,写す,うつす,"copy, photograph",kun,960
形,"shape, form",ぎょう,人形,にんぎょう,doll,on,969
形,"shape, form",かたち,形,かたち,"shape, form",kun,970
角,"angle, corner",かく,三角,さんかく,triangle,on,979
角,"angle, corner",かく,四角,しかく,"square, quadrilateral",on,980
角,"angle, corner",かく,四角い,しかくい,"square, four-sided",on,981
角,"angle, corner",かど,角,かど,"corner, edge, angle",kun,977
角,"angle, corner",かど,四つ角,よつかど,"street corner, intersection",kun,982
角,"angle, corner",かど,曲がり角,まがりかど,street corner,kun,985
旅,"trip, travel",りょ,旅行,りょこう,"travel, trip",on,993
旅,"trip, travel",りょ,旅館,りょかん,Japanese inn,on,995
室,"room, apartment",しつ,教室,きょうしつ,"classroom, class",on,1001
室,"room, apartment",しつ,図書室,としょしつ,library room,on,1002
室,"room, apartment",しつ,事務室,じむしつ,office,on,1180
歳,"year-end, age",irregular,万歳,ばんざい,Banzai! Hurrah! Long live...!,irregular,1008
歳,"year-end, age",irregular,二十歳,はたち,20 years old,irregular,1009
者,"someone, person",しゃ,医者,いしゃ,doctor,on,1055
者,"someone, person",しゃ,お医者さん,おいしゃさん,doctor,on,1056
者,"someone, person",しゃ,歯医者,はいしゃ,dentist,on,1057
者,"someone, person",しゃ,記者,きしゃ,"journalist, reporter",on,1139
者,"someone, person",しゃ,業者,ぎょうしゃ,business man,on,1907
者,"someone, person",もの,若者,わかもの,"young person, youth",kun,1012
者,"someone, person",irregular,患者,かんじゃ,patient,irregular,1435
果,"fruit, reward",か,結果,けっか,"result, outcome",on,1016
果,"fruit, reward",か,効果,こうか,"effect, result",on,1020
果,"fruit, reward",irregular,果物,くだもの,fruit,irregular,1017
課,"chapter, lesson",か,課題,かだい,"task, problem",on,1018
課,"chapter, lesson",か,課,か,"section, division, lesson",on,1019
由,"wherefore, a reason",ゆう,理由,りゆう,"reason, cause",on,1025
由,"wherefore, a reason",ゆう,自由,じゆう,"freedom, free",on,1026
信,"faith, truth",しん,信じる,しんじる,"believe, trust, have faith in",on,1027
信,"faith, truth",しん,信号,しんごう,"signal, traffic light",on,1028
民,"people, nation",みん,市民,しみん,"citizens, townsmen",on,1030
民,"people, nation",みん,住民,じゅうみん,"residents, inhabitants",on,1032
議,"deliberation, consultation",ぎ,議員,ぎいん,legislator,on,1034
議,"deliberation, consultation",ぎ,会議,かいぎ,"conference, meeting",on,1035
対,"vis-a-vis, opposite",たい,対する,たいする,"in response to, face",on,1036
対,"vis-a-vis, opposite",たい,対立,たいりつ,"opposition, antagonism",on,1037
対,"vis-a-vis, opposite",たい,反対,はんたい,"oppose, the opposite",on,1038
対,"vis-a-vis, opposite",たい,対策,たいさく,"measure, countermeasure",on,1155
対,"vis-a-vis, opposite",たい,対象,たいしょう,"target, subject",on,1202
対,"vis-a-vis, opposite",たい,絶対に,ぜったいに,"absolutely, unconditionally",on,1551
特,special,とく,特に,とくに,"specially, particularly",on,1040
特,special,とく,特別,とくべつ,"special, extraordinary",on,1042
特,special,とく,特徴,とくちょう,distinguishing characteristic,on,1511
特,special,irregular,特急,とっきゅう,limited express (train),irregular,1041
的,"bull's eye, mark",てき,目的,もくてき,"objective, purpose",on,1046
的,"bull's eye, mark",てき,具体的,ぐたいてき,"specific, concrete",on,1084
並,"row, and",なら,並ぶ,ならぶ,"line up, be parallel",kun,1048
並,"row, and",なら,並べる,ならべる,"line (st) up, display, set up",kun,1049
院,"inst., institution",いん,病院,びょういん,hospital,on,1052
院,"inst., institution",いん,入院,にゅういん,be hospitalized,on,1053
院,"inst., institution",いん,大学院,だいがくいん,graduate school,on,1054
院,"inst., institution",いん,退院,たいいん,discharge from a hospital,on,1189
院,"inst., institution",いん,美容院,びよういん,hair salon,on,1507
医,"doctor, medicine",い,医者,いしゃ,doctor,on,1055
医,"doctor, medicine",い,お医者さん,おいしゃさん,doctor,on,1056
医,"doctor, medicine",い,歯医者,はいしゃ,dentist,on,1057
歯,"tooth, cog",し,歯医者,はいしゃ,dentist,on,1057
歯,"tooth, cog",は,歯,は,"tooth, cog",kun,1058
歯,"tooth, cog",は,歯ブラシ,はぶらし,toothbrush,kun,1059
歯,"tooth, cog",は,歯磨き,はみがき,"toothpaste, brushing one's teeth",kun,1746
科,"department, course",か,科学,かがく,science,on,1060
科,"department, course",か,教科書,きょうかしょ,"textbook, schoolbook",on,1061
科,"department, course",か,理科,りか,science,on,1062
酔,"drunk, feel sick",よ,酔っ払い,よっぱらい,drunk person,kun,1067
酔,"drunk, feel sick",よ,酔っ払う,よっぱらう,get drunk,kun,1068
危,"dangerous, fear",き,危険,きけん,"danger, dangerous",on,1070
危,"dangerous, fear",あぶ,危ない,あぶない,"dangerous, uncertain",kun,1069
注,"pour, irrigate",ちゅう,注目,ちゅうもく,"attention, notice",on,1072
注,"pour, irrigate",ちゅう,注文,ちゅうもん,"order, request",on,1073
注,"pour, irrigate",ちゅう,注意,ちゅうい,"attention, care, watch out",on,1076
注,"pour, irrigate",ちゅう,注射,ちゅうしゃ,"shot, injection",on,1401
意,"idea, mind",い,意味,いみ,"meaning, significance",on,1074
意,"idea, mind",い,意見,いけん,opinion,on,1075
意,"idea, mind",い,注意,ちゅうい,"attention, care, watch out",on,1076
意,"idea, mind",い,用意,ようい,"prepare, ready oneself",on,1077
意,"idea, mind",い,得意,とくい,"one's forte, pride, frequent customer",on,1450
確,"assurance, firm",かく,確認,かくにん,confirmation,on,1079
確,"assurance, firm",かく,正確,せいかく,"accurate, precise",on,1118
確,"assurance, firm",たし,確か,たしか,"for sure, for certain",kun,1078
基,"fundamentals, radical (chem)",き,基本,きほん,"basis, foundation",on,1086
基,"fundamentals, radical (chem)",き,基準,きじゅん,"standard, criteria",on,1087
基,"fundamentals, radical (chem)",もと,基づく,もとづく,be based on,kun,1085
準,"semi-, correspond to",じゅん,基準,きじゅん,"standard, criteria",on,1087
準,"semi-, correspond to",じゅん,準備,じゅんび,"prepare for, ready for",on,1090
備,"equip, provision",び,準備,じゅんび,"prepare for, ready for",on,1090
備,"equip, provision",そな,備える,そなえる,"prepare for (disaster), equip (st) with",kun,1089
設,"establishment, provision",せつ,施設,しせつ,"facilities, institution",on,1092
設,"establishment, provision",せつ,建設,けんせつ,"construction, establishment",on,1278
設,"establishment, provision",もう,設ける,もうける,"set up, establish, prepare",kun,1093
設,"establishment, provision",irregular,設計,せっけい,"design, plan",irregular,1091
説,"opinion, theory",せつ,説明,せつめい,"explanation, description",on,1094
説,"opinion, theory",せつ,小説,しょうせつ,"novel, story",on,1095
公,"public, prince",こう,公開,こうかい,opening (to the public),on,1096
公,"public, prince",こう,公園,こうえん,"park, public garden",on,1098
園,"park, garden",えん,公園,こうえん,"park, public garden",on,1098
園,"park, garden",えん,動物園,どうぶつえん,zoo,on,1099
園,"park, garden",えん,幼稚園,ようちえん,kindergarten,on,1670
際,"occasion, side",さい,国際,こくさい,international,on,1101
際,"occasion, side",さい,実際,じっさい,"reality, truth, the actual situation",on,1102
船,"ship, boat",ふな,船便,ふなびん,surface mail&nbsp;(ship),kun,1105
船,"ship, boat",ふね,船,ふね,"ship, boat, vessel",kun,1106
港,harbor,こう,空港,くうこう,airport,on,1107
港,harbor,みなと,港,みなと,"port, harbor",kun,1108
成,"turn into, become",せい,完成,かんせい,"completion, finish",on,1110
成,"turn into, become",せい,平成,へいせい,Heisei era,on,1111
成,"turn into, become",せい,成功,せいこう,success,on,1112
成,"turn into, become",せい,成績,せいせき,"grade (school), results, record",on,1182
成,"turn into, become",せい,構成,こうせい,"organization, makeup",on,1281
資,"assets, resources",し,資金,しきん,"funds, a fund",on,1115
資,"assets, resources",し,投資,とうし,investment,on,1116
正,"correct, justice",せい,正確,せいかく,"accurate, precise",on,1118
正,"correct, justice",しょう,正月,しょうがつ,New Year,on,1120
正,"correct, justice",しょう,正直,しょうじき,"honest, upright",on,1121
正,"correct, justice",ただ,正しい,ただしい,"correct, righteous, lawful",kun,1119
常,"usual, ordinary",じょう,通常,つうじょう,"common, ordinary",on,1123
常,"usual, ordinary",じょう,非常に,ひじょうに,"very, extremely",on,1124
調,"tune, tone",ちょう,強調,きょうちょう,"emphasis, stress",on,1126
調,"tune, tone",ちょう,調査,ちょうさ,"investigation, examination",on,1128
調,"tune, tone",しら,調べる,しらべる,"search (for), examine",kun,1125
提,"propose, take along",てい,提供,ていきょう,"offer, provide",on,1129
提,"propose, take along",てい,提案,ていあん,"proposition, proposal",on,1130
案,"plan, suggestion",あん,提案,ていあん,"proposition, proposal",on,1130
案,"plan, suggestion",あん,案内,あんない,"guide, inform",on,1131
連,"take along, lead",れん,関連,かんれん,"connection, relation",on,1145
連,"take along, lead",つ,連れて行く,つれていく,take (a person) along,kun,1133
連,"take along, lead",つ,連れて来る,つれてくる,bring (a person),kun,1134
相,"inter-, mutual",そう,相談,そうだん,"consultation, advice",on,1138
相,"inter-, mutual",しょう,首相,しゅしょう,prime minister,on,1161
相,"inter-, mutual",あい,相手,あいて,"opponent, partner",kun,1136
談,"discuss, talk",だん,会談,かいだん,"conference, talk",on,1137
談,"discuss, talk",だん,相談,そうだん,"consultation, advice",on,1138
談,"discuss, talk",だん,冗談,じょうだん,joke,on,1662
録,record,ろく,記録,きろく,"record, documentation",on,1140
録,record,ろく,録音,ろくおん,audio recording,on,1141
関,"connection, barrier",かん,関する,かんする,"concern, relate to",on,1144
関,"connection, barrier",かん,関連,かんれん,"connection, relation",on,1145
関,"connection, barrier",かん,関係,かんけい,"relation, relationship",on,1146
関,"connection, barrier",かん,玄関,げんかん,"entrance, doorway",on,1640
状,"status quo, conditions",じょう,状況,じょうきょう,"situation, conditions&nbsp;",on,1147
状,"status quo, conditions",じょう,状態,じょうたい,"state, appearance (of a thing)",on,1149
状,"status quo, conditions",じょう,年賀状,ねんがじょう,New Year's card,on,1736
治,"reign, be at peace",じ,政治,せいじ,politics,on,1151
治,"reign, be at peace",なお,治る,なおる,"get better,&nbsp;be cured",kun,1150
治,"reign, be at peace",なお,治す,なおす,"cure, heal",kun,1152
政,"politics, government",せい,政治,せいじ,politics,on,1151
政,"politics, government",せい,政府,せいふ,"government, administration",on,1153
政,"politics, government",せい,政策,せいさく,"policy, political measures",on,1156
政,"politics, government",せい,政権,せいけん,"political power, government, administration",on,1442
策,"scheme, plan",さく,対策,たいさく,"measure, countermeasure",on,1155
策,"scheme, plan",さく,政策,せいさく,"policy, political measures",on,1156
選,"elect, select",せん,選手,せんしゅ,player (in a game); team member,on,1158
選,"elect, select",せん,選挙,せんきょ,election,on,1159
選,"elect, select",えら,選ぶ,えらぶ,"choose, elect",kun,1157
革,"leather, skin",かく,改革,かいかく,reform,on,1163
革,"leather, skin",かわ,革,かわ,leather,kun,1164
組,"association, braid",そ,組織,そしき,"organization, structure, tissue",on,1168
組,"association, braid",ぐみ,番組,ばんぐみ,"program (TV, radio)",kun,1166
組,"association, braid",く,組み立てる,くみたてる,"put together, assemble, construct",kun,1167
進,"advance, proceed",しん,進学,しんがく,entering the next level of school,on,1171
進,"advance, proceed",すす,進める,すすめる,"advance, promote, speed (st) up",kun,1169
進,"advance, proceed",すす,進む,すすむ,"advance, move forward",kun,1170
辞,"resign, word",じ,辞書,じしょ,dictionary,on,1176
辞,"resign, word",じ,お辞儀,おじぎ,"bow, bowing",on,1617
辞,"resign, word",や,辞める,やめる,"resign, retire",kun,1175
勤,"diligence, become employed",きん,通勤,つうきん,commute,on,1177
勤,"diligence, become employed",つと,勤める,つとめる,to work for (~に),kun,1178
務,"task, duties",む,事務所,じむしょ,"office, one's place of business",on,1179
務,"task, duties",む,事務室,じむしつ,office,on,1180
集,"gather, meet",あつ,集める,あつめる,"collect, gather",kun,1183
集,"gather, meet",あつ,集まる,あつまる,"gather, be collected",kun,1184
件,"affair, case",けん,事件,じけん,"event, incident, case",on,1192
件,"affair, case",けん,条件,じょうけん,"condition, terms",on,1193
加,"add, addition",か,参加,さんか,"participation, taking part in",on,1195
加,"add, addition",か,増加,ぞうか,"increase, gain",on,1196
加,"add, addition",か,加工,かこう,"processing, manufacturing<div>(turning st into st else)</div>",on,1198
加,"add, addition",くわ,加える,くわえる,add (one thing to another)<div>(can be the same or a different kind of thing)</div>,kun,1197
換,"interchange, period",か,乗り換える,のりかえる,"change, transfer (trainなど)",kun,1205
換,"interchange, period",か,乗り換え,のりかえ,"change (trainなど), transfer",kun,1206
換,"interchange, period",か,換える,かえる,"swap, convert",kun,1208
替,"exchange, spare",irregular,着替える,きがえる,change clothes,irregular,1209
替,"exchange, spare",irregular,両替,りょうがえ,"exchanging currency, break (a 1万 note)",irregular,1331
破,"rend, rip",やぶ,破る,やぶる,"tear (st), break (through) （~を）",kun,1211
破,"rend, rip",やぶ,破れる,やぶれる,"(st) rips, gets torn",kun,1212
壊,"demolition, break",こわ,壊す,こわす,"break, destroy, smash",kun,1213
壊,"demolition, break",こわ,壊れる,こわれる,"break, break down, get out of order",kun,1214
争,"contend, dispute",そう,戦争,せんそう,"war, battle",on,1224
争,"contend, dispute",そう,競争,きょうそう,competition,on,1225
池,"pond, cistern",ち,電池,でんち,"electric cell, battery",on,1231
池,"pond, cistern",いけ,池,いけ,pond,kun,1230
深,"deep, heighten",ふか,深い,ふかい,"deep, profound, intimate",kun,1232
深,"deep, heighten",ふか,深さ,ふかさ,"depth, profundity",kun,1233
泳,swim,えい,水泳,すいえい,swimming,on,1238
泳,swim,およ,泳ぐ,およぐ,swim,kun,1237
流,"current, a sink",なが,流れる,ながれる,"flow, drift away",kun,1239
流,"current, a sink",irregular,流行る,はやる,"be in fashion, be popular",irregular,1240
球,"ball, sphere",きゅう,地球,ちきゅう,the Earth,on,1263
球,"ball, sphere",きゅう,野球,やきゅう,baseball,on,1264
震,"quake, shake",しん,地震,じしん,earthquake,on,1267
震,"quake, shake",ふる,震える,ふるえる,"tremble, quiver, shake",kun,1268
構,"posture, build",こう,構成,こうせい,"organization, makeup",on,1281
構,"posture, build",こう,構造,こうぞう,"structure, the construction",on,1282
停,"halt, stopping",てい,停車,ていしゃ,"a stop (train), stopping",on,1288
停,"halt, stopping",てい,バス停,ばすてい,bus stop,on,1289
停,"halt, stopping",てい,停留所,ていりゅうじょ,"stop, station",on,1316
横,"sideways, side",おう,横断歩道,おうだんほどう,crosswalk,on,1298
横,"sideways, side",よこ,横,よこ,"side, width across",kun,1294
横,"sideways, side",よこ,横書き,よこがき,horizontal writing,kun,1295
断,"severance, decline",だん,判断,はんだん,"judgment, decision",on,1296
断,"severance, decline",だん,横断歩道,おうだんほどう,crosswalk,on,1298
断,"severance, decline",ことわ,断る,ことわる,"refuse, turn down",kun,1297
訪,"call on, visit",おとず,訪れる,おとずれる,"visit, go to see",kun,1300
訪,"call on, visit",たず,訪ねる,たずねる,"visit (place or person), drop in",kun,1301
房,"tassel, tuft",ぼう,冷房,れいぼう,air conditioning,on,1302
房,"tassel, tuft",ぼう,暖房,だんぼう,heating,on,1303
房,"tassel, tuft",ぼう,文房具,ぶんぼうぐ,"stationery, writing materials",on,1304
輸,"transport, send",ゆ,輸入,ゆにゅう,import,on,1308
輸,"transport, send",しゅ,輸出,ゆしゅつ,export,on,1309
復,"restore, return to",ふく,往復,おうふく,"&nbsp;round trip, going and returning",on,1311
復,"restore, return to",ふく,復習,ふくしゅう,review,on,1312
守,"guard, protect",す,留守,るす,not at home,on,1320
守,"guard, protect",まも,守る,まもる,"protect, observe",kun,1319
宅,"home, house",たく,住宅,じゅうたく,"housing, residence",on,1321
宅,"home, house",たく,自宅,じたく,"one's house, one's home",on,1322
宅,"home, house",たく,お宅,おたく,your home (敬語),on,1323
両,"both, old japanese coin",りょう,両方,りょうほう,both,on,1330
両,"both, old japanese coin",りょう,両替,りょうがえ,"exchanging currency, break (a 1万 note)",on,1331
両,"both, old japanese coin",りょう,両親,りょうしん,parents,on,1332
側,"side, lean",がわ,内側,うちがわ,"inside, interior",kun,1334
側,"side, lean",がわ,向こう側,むこうがわ,other side,kun,1335
側,"side, lean",がわ,外側,そとがわ,"exterior, outside",kun,1336
側,"side, lean",がわ,左側,ひだりがわ,left side,kun,1337
側,"side, lean",がわ,右側,みぎがわ,right side,kun,1338
裏,"back, amidst",うら,裏,うら,"rear, reverse (side), inside",kun,1339
裏,"back, amidst",うら,裏返す,うらがえす,"turn over, turn inside out",kun,1341
刊,"publish, carve",かん,週刊誌,しゅうかんし,weekly magazine,on,1342
刊,"publish, carve",かん,朝刊,ちょうかん,morning edition,on,1343
刊,"publish, carve",かん,夕刊,ゆうかん,evening edition,on,1344
訳,"translate, reason",やく,訳,やく,translation,on,1349
訳,"translate, reason",やく,訳す,やくす,translate,on,1350
付,"adhere, attach",つ,付く,つく,"stick to, be attached to, accompany",kun,1353
付,"adhere, attach",つ,付ける,つける,"attach, apply (st to st), add",kun,1354
付,"adhere, attach",つ,受け付ける,うけつける,"accept, receive",kun,1355
付,"adhere, attach",つ,受付,うけつけ,"receptionist, front desk",kun,1358
付,"adhere, attach",つ,気を付ける,きをつける,"take care of, pay attention to",kun,1361
付,"adhere, attach",づ,片付ける,かたづける,"put in order, clear (st) away, put (st) back",kun,1356
付,"adhere, attach",づ,近付く,ちかづく,"approach, get acquainted",kun,1359
付,"adhere, attach",づ,片付く,かたづく,"be in order, be settled",kun,1360
念,"wish, sense",ねん,記念日,きねんび,"memorial day, anniversary",on,1363
念,"wish, sense",ねん,残念,ざんねん,"regretful, disappointing",on,1364
例,"example, custom",れい,例文,れいぶん,example sentence,on,1366
例,"example, custom",れい,例,れい,"example, precedent",on,1367
例,"example, custom",たと,例えば,たとえば,for example,kun,1365
除,"exclude, division (x/3)",じ,掃除,そうじ,cleaning,on,1651
除,"exclude, division (x/3)",じ,掃除機,そうじき,vacuum cleaner,on,1654
除,"exclude, division (x/3)",のぞ,除く,のぞく,"exclude, get rid of",kun,1369
苦,"suffering, trial",くる,苦しい,くるしい,"painful, difficult",kun,1373
苦,"suffering, trial",にが,苦い,にがい,"bitter, sour",kun,1374
苦,"suffering, trial",にが,苦手,にがて,"weak point, (sb) hard to deal with",kun,1375
幸,"happiness, blessing",こう,不幸,ふこう,"unhappiness, misfortune, a death",on,1378
幸,"happiness, blessing",しあわ,幸せ,しあわせ,"happiness, good fortune",kun,1379
塩,salt,しお,塩,しお,salt,kun,1380
塩,salt,しお,塩辛い,しおからい,salty,kun,1381
厚,"thick, heavy",あつ,厚い,あつい,"thick, bulky",kun,1387
厚,"thick, heavy",あつ,厚さ,あつさ,thickness,kun,1388
越,"surpass, cross over",こ,引っ越す,ひっこす,move (houses),kun,1391
越,"surpass, cross over",こ,越える,こえる,"go over, go across, go beyond",kun,1392
越,"surpass, cross over",こ,引っ越し,ひっこし,moving (houses),kun,1393
越,"surpass, cross over",こ,追い越す,おいこす,"pass, outdo",kun,1394
礼,"salute, bow",れい,失礼,しつれい,"impoliteness, bad manners, I beg your parden/Goodbye",on,1397
礼,"salute, bow",れい,お礼,おれい,"thanks, reward, return present",on,1399
身,"somebody, person",しん,独身,どくしん,"single, unmarried",on,1408
身,"somebody, person",み,刺身,さしみ,"sashimi, sliced raw meat",kun,1530
招,"beckon, invite",しょう,招待,しょうたい,invitation,on,1413
招,"beckon, invite",まね,招く,まねく,"invite, beckon",kun,1412
奥,"heart, interior",おく,奥,おく,"inner part, the back, inner chamber",kun,1415
奥,"heart, interior",おく,奥さん,おくさん,"(sb's) wife,&nbsp;married lady",kun,1416
皆,"all, everything",みな,皆さん,みなさん,everybody (丁寧語),kun,1417
皆,"all, everything",みな,皆様,みなさま,everyone (敬語),kun,1418
祝,"celebrate, congratulate",しゅく,祝日,しゅくじつ,"holiday, festival day",on,1426
祝,"celebrate, congratulate",いわ,お祝い,おいわい,celebrate,kun,1427
師,"expert, teacher",し,看護師,かんごし,nurse,on,1434
師,"expert, teacher",し,教師,きょうし,"teacher, instructor",on,1515
迷,"astray, be perplexed",めい,迷惑,めいわく,"trouble, annoyance",on,1440
迷,"astray, be perplexed",まよ,迷う,まよう,"hesitate, get lost, be unable to decide",kun,1439
贈,"presents, send",おく,贈る,おくる,"offer, give (presentとか)",kun,1443
贈,"presents, send",おく,贈り物,おくりもの,"present, gift (和語)",kun,1444
預,"deposit, custody",あず,預ける,あずける,"deposit, entrust",kun,1448
預,"deposit, custody",あず,預かる,あずかる,keep (st) for (sb); take care of (st),kun,1449
焼,"bake, burning",や,焼ける,やける,"burn, be grilled, be baked が",kun,1453
焼,"bake, burning",や,焼く,やく,"burn (st), grill, bake を",kun,1454
焼,"bake, burning",や,すき焼き,すきやき,sukiyaki,kun,1986
乾,"drought, dry",かん,乾杯,かんぱい,a toast,on,1457
乾,"drought, dry",かわ,乾く,かわく,"(st) drys, gets dry (が)",kun,1456
乾,"drought, dry",かわ,乾かす,かわかす,dry (st) を,kun,1458
庭,"courtyard, garden",てい,家庭,かてい,"home, family",on,1462
庭,"courtyard, garden",にわ,庭,にわ,"garden, court",kun,1463
板,"plank, board",ばん,黒板,こくばん,blackboard,on,1471
