Position,Word_Kanji,Reading_Kana,English_Meaning,Part_of_Speech,Deck_Step_Label,Frequency_Rank
257,書き直す,かきなおす,rewrite,Verb,Core 2000 Step 02 - 084,25047
258,直る,なおる,"be repaired, return to normal",Verb,Core 2000 Step 02 - 100,9929
259,線,せん,"line, route (trainなど)",Noun,Core 2000 Step 02 - 005,1289
260,曲がる,まがる,turn,Verb,Core 2000 Step 02 - 048,3456
261,同じ,おなじ,"same, identical",Adjectival Noun,Core 2000 Step 01 - 022,157
262,違う,ちがう,"differ, be wrong",Verb,Core 2000 Step 02 - 115,298
263,図書館,としょかん,library,Noun,Core 2000 Step 01 - 196,5144
264,泊まる,とまる,stay overnight,Verb,Core 2000 Step 02 - 045,3281
265,遊ぶ,あそぶ,"have a good time, play",Verb,Core 2000 Step 01 - 180,1496
266,どうして,どうして,why,Adverb,Core 2000 Step 02 - 046,276
267,服,ふく,clothes,Noun,Core 2000 Step 02 - 008,871
268,お父さん,おとうさん,father,Noun,Core 2000 Step 02 - 042,1267
269,父,ちち,(speaker's)father,Noun,Core 2000 Step 02 - 158,296
270,お母さん,おかあさん,mother,Noun,Core 2000 Step 02 - 015,1238
271,母,はは,(speaker's) mother,Noun,Core 2000 Step 02 - 170,356
272,親,おや,parent,Noun,Core 2000 Step 01 - 116,959
273,姉,あね,older sister,Noun,Core 2000 Step 01 - 155,1057
274,お姉さん,おねえさん,older sister,Noun,Core 2000 Step 02 - 099,6069
275,妹,いもうと,younger sister,Noun,Core 2000 Step 02 - 131,849
276,おなか,おなか,stomach,Noun,Core 2000 Step 02 - 049,7611
277,兄,あに,older brother,Noun,Core 2000 Step 01 - 111,731
278,お兄さん,おにいさん,older brother,Noun,Core 2000 Step 02 - 104,6697
279,弟,おとうと,younger brother,Noun,Core 2000 Step 02 - 137,998
280,娘,むすめ,"daughter, girl",Noun,Core 2000 Step 01 - 123,223
281,息子,むすこ,son,Noun,Core 2000 Step 01 - 135,796
282,若い,わかい,young,Adjective,Core 2000 Step 01 - 064,282
283,彼女,かのじょ,"she, one's girlfriend",Pronoun,Core 2000 Step 01 - 046,82
284,彼,かれ,"he, one's boyfriend",Noun,Core 2000 Step 02 - 143,49
285,結婚,けっこん,marriage,Verbal Noun,Core 2000 Step 01 - 115,521
286,自転車,じてんしゃ,bicycle,Noun,Core 2000 Step 01 - 169,2691
287,自分,じぶん,"self, oneself",Noun,Core 2000 Step 02 - 194,56
288,ご主人,ごしゅじん,(your) husband,Noun,Core 2000 Step 02 - 192,3584
289,答える,こたえる,"answer, reply",Verb,Core 2000 Step 02 - 150,227
290,別,べつ,"another, different",Adjectival Noun,Core 2000 Step 01 - 062,369
291,病気,びょうき,illness,Verbal Noun,Core 2000 Step 01 - 141,1173
292,死ぬ,しぬ,die,Verb,Core 2000 Step 01 - 098,183
293,痛い,いたい,painful,Adjective,Core 2000 Step 02 - 041,1184
294,酒,さけ,"alcoholic drink, Japanese rice wine",Noun,Core 2000 Step 01 - 153,463
295,つける,つける,switch on,Verb,Core 2000 Step 02 - 068,168
296,一杯,いっぱい,full,Adverb,Core 2000 Step 02 - 112,5902
297,飛ぶ,とぶ,fly,Verb,Core 2000 Step 01 - 078,580
298,飛行機,ひこうき,airplane,Noun,Core 2000 Step 01 - 139,2223
299,お願い,おねがい,"request, wish",Verbal Noun,Core 2000 Step 02 - 140,1014
300,続く,つづく,"continue, follow が",Verb,Core 2000 Step 01 - 024,677
301,日記,にっき,diary,Noun,Core 2000 Step 01 - 178,2992
302,首,くび,neck,Noun,Core 2000 Step 01 - 175,237
303,頭,あたま,head,Noun,Core 2000 Step 01 - 103,146
304,顔,かお,face,Noun,Core 2000 Step 01 - 051,69
305,感じる,かんじる,"feel, sense",Verb,Core 2000 Step 01 - 034,206
306,探す,さがす,"search for, look for",Verb,Core 2000 Step 01 - 171,781
307,落ちる,おちる,"fall, go down",Verb,Core 2000 Step 01 - 134,408
308,お手洗い,おてあらい,bathroom (polite),Noun,Core 2000 Step 02 - 191,37293
309,冷たい,つめたい,"cold (things, touch)",Adjective,Core 2000 Step 02 - 162,841
310,汚い,きたない,dirty,Adjective,Core 2000 Step 02 - 062,3759
311,太い,ふとい,"thick, fat",Adjective,Core 2000 Step 02 - 037,1691
312,曇る,くもる,become cloudy,Verb,Core 2000 Step 02 - 081,4850
313,神,かみ,"god, spirit",Noun,Core 2000 Step 02 - 040,265
314,まずい,まずい,"bad-tasting, bad",Adjective,Core 2000 Step 02 - 079,2137
315,建てる,たてる,"build, erect",Verb,Core 2000 Step 01 - 159,2445
316,置く,おく,"put, leave",Verb,Core 2000 Step 01 - 066,348
